#{"t_start": 1676238564.313445, "env_id": null}
r,l,t
-257.25305,30,0.1003
-250.46326,30,0.100366
-275.8078,30,0.100377
-265.34338,30,0.100386
-264.49252,30,0.119801
-252.83842,30,0.119862
-280.39716,30,0.119872
-267.19678,30,0.119881
-257.92355,30,0.138082
-275.29962,30,0.138139
-268.41187,30,0.138149
-270.25092,30,0.138158
-260.7281,30,0.157084
-271.6067,30,0.157144
-271.49915,30,0.157155
-270.88763,30,0.157163
-269.10486,30,0.175321
-263.31726,30,0.17538
-276.8532,30,0.175391
-270.01358,30,0.175402
-279.16437,30,0.193704
-270.09824,30,0.193753
-263.85556,30,0.193763
-275.4693,30,0.193771
-260.31085,30,0.213857
-257.02924,30,0.213894
-273.7793,30,0.213906
-263.92532,30,0.213915
-262.6283,30,0.233357
-251.01765,30,0.233415
-250.72855,30,0.233426
-277.96567,30,0.233434
-286.13736,30,0.251661
-269.5219,30,0.251714
-261.87225,30,0.251726
-270.0886,30,0.251735
-271.9158,30,0.271016
-256.4281,30,0.271075
-264.96954,30,0.271086
-264.557,30,0.271095
-263.4518,30,0.290237
-267.6794,30,0.290297
-277.5007,30,0.290308
-266.8358,30,0.290319
-275.2889,30,0.309056
-259.2454,30,0.309111
-263.14383,30,0.309121
-268.8079,30,0.309129
-270.27335,30,0.327986
-277.82935,30,0.328047
-272.76663,30,0.328058
-264.34506,30,0.328068
-286.95737,30,0.346309
-258.00165,30,0.346351
-278.9418,30,0.346361
-266.31195,30,0.346369
-269.6401,30,0.365167
-253.07909,30,0.369564
-281.8362,30,0.369592
-272.3563,30,0.369602
-261.05038,30,0.387815
-270.93665,30,0.387867
-258.9969,30,0.387879
-275.35406,30,0.387888
-275.66022,30,0.405511
-276.23505,30,0.405563
-273.30652,30,0.405574
-276.87616,30,0.405582
-271.72543,30,0.422974
-270.1723,30,0.423022
-271.89407,30,0.423032
-259.78256,30,0.42304
-269.71313,30,0.441879
-281.41647,30,0.441938
-274.27026,30,0.441951
-261.05234,30,0.441959
-284.001,30,0.460316
-261.30328,30,0.46036
-272.95816,30,0.46037
-277.84753,30,0.460379
-276.45963,30,0.477636
-289.61725,30,0.477676
-264.59,30,0.477688
-281.41068,30,0.477696
-270.38672,30,0.495584
-264.2468,30,0.495632
-270.05222,30,0.495643
-262.23654,30,0.495651
-276.4935,30,0.513069
-274.69003,30,0.513122
-257.813,30,0.513134
-268.60638,30,0.513142
-266.70618,30,0.530488
-261.67987,30,0.530538
-262.49332,30,0.530548
-278.91934,30,0.530556
-284.15982,30,0.547484
-250.62347,30,0.547508
-265.60162,30,0.547518
-263.27753,30,0.547526
-272.01932,30,0.564416
-281.03833,30,0.564446
-276.47925,30,0.564455
-275.65338,30,0.564463
-272.09027,30,0.581392
-273.47128,30,0.581419
-281.36823,30,0.581428
-274.361,30,0.581436
-277.8803,30,0.598692
-281.93964,30,0.598724
-270.45337,30,0.598737
-274.2467,30,0.598745
-262.5036,30,0.616346
-277.8164,30,0.616394
-269.3436,30,0.616407
-281.0668,30,0.616415
-294.24796,30,0.633431
-282.5647,30,0.633457
-280.83563,30,0.633467
-269.07248,30,0.633475
-285.83478,30,0.650576
-275.9866,30,0.650612
-274.78732,30,0.650626
-283.46405,30,0.650637
-281.9638,30,0.667742
-263.68408,30,0.667769
-277.7575,30,0.667782
-272.11212,30,0.667789
-262.01605,30,0.685046
-279.34082,30,0.685077
-274.17523,30,0.685091
-270.19138,30,0.685099
-269.22012,30,0.702007
-275.21533,30,0.702031
-269.30936,30,0.702041
-270.05396,30,0.702049
-255.3346,30,0.719436
-273.50424,30,0.719482
-270.368,30,0.719492
