#{"t_start": 1676244809.024905, "env_id": null}
r,l,t
-450.18478,30,0.015696
-467.79318,30,0.015753
-453.23868,30,0.015764
-454.63794,30,0.015772
-546.2314,30,0.02429
-514.9193,30,0.02431
-534.96423,30,0.024321
-581.0022,30,0.024329
-47.370724,30,0.033801
-107.41004,30,0.033824
-112.81705,30,0.033835
7.042173,30,0.033843
242.8388,30,0.04269
364.82233,30,0.042711
395.05466,30,0.042721
351.10138,30,0.042728
-478.91656,30,0.051405
-498.41266,30,0.051424
-480.6515,30,0.051433
-471.29196,30,0.05144
-403.4649,30,0.059957
-397.95538,30,0.059978
-441.00504,30,0.059986
-424.1066,30,0.059993
203.8016,30,0.068207
238.22635,30,0.068222
133.89104,30,0.068231
186.62746,30,0.068238
-194.72504,30,0.077171
-164.86305,30,0.07719
-301.35724,30,0.077198
-220.4632,30,0.077205
-79.26059,30,0.085619
-60.32104,30,0.085685
-40.88554,30,0.085695
-66.72994,30,0.085703
382.89743,30,0.094396
387.89957,30,0.09442
338.601,30,0.094428
346.00266,30,0.094434
-52.433746,30,0.103014
-55.69925,30,0.103028
-50.759533,30,0.103036
-62.94433,30,0.103043
-551.1711,30,0.111644
-518.316,30,0.11166
-585.04364,30,0.111669
-538.5754,30,0.111676
207.11975,30,0.120542
177.88628,30,0.120604
112.05333,30,0.120617
180.06851,30,0.120626
-676.34955,30,0.129574
-695.5261,30,0.129601
-689.52704,30,0.129609
-685.9152,30,0.129617
190.36624,30,0.138398
185.18181,30,0.138451
148.72307,30,0.138461
136.76746,30,0.138469
258.61685,30,0.147364
337.74908,30,0.14741
296.56662,30,0.14742
383.01364,30,0.147428
221.31013,30,0.163938
250.66606,30,0.163969
255.34541,30,0.163978
232.28802,30,0.163986
278.08163,30,0.172779
332.20294,30,0.17283
311.59604,30,0.17284
275.68872,30,0.172851
-25.001448,30,0.181383
-122.74793,30,0.181412
-77.2313,30,0.181424
-47.783665,30,0.181432
7.618067,30,0.19026
-39.210075,30,0.190306
9.056789,30,0.190315
11.77046,30,0.190322
-119.831795,30,0.199651
-102.85048,30,0.199675
-78.52342,30,0.199684
-182.15259,30,0.199693
128.39421,30,0.208698
98.8552,30,0.208723
172.53705,30,0.208731
85.44067,30,0.208738
339.4209,30,0.217333
370.5365,30,0.217352
352.27994,30,0.21736
328.77783,30,0.217368
418.7367,30,0.226049
391.91986,30,0.226102
450.05814,30,0.226113
344.91943,30,0.226121
117.74001,30,0.234782
189.44345,30,0.23482
187.57014,30,0.234829
182.9924,30,0.234836
250.91756,30,0.243535
307.71683,30,0.243559
305.47565,30,0.243568
267.74316,30,0.243575
-83.5951,30,0.252225
-273.87384,30,0.252269
-136.776,30,0.252278
-100.78755,30,0.252287
233.0056,30,0.26085
276.08615,30,0.260876
222.32687,30,0.260885
249.85724,30,0.260892
38.330383,30,0.269655
31.761887,30,0.269704
92.436386,30,0.269714
-8.053323,30,0.269722
225.3031,30,0.27869
181.77185,30,0.27874
214.81891,30,0.278749
308.46786,30,0.278757
315.9276,30,0.287179
292.34903,30,0.287206
124.48076,30,0.287215
270.9714,30,0.287222
-469.86682,30,0.295554
-451.27557,30,0.29559
-446.78577,30,0.295599
-480.08765,30,0.295607
230.89474,30,0.306346
259.38693,30,0.306401
265.3403,30,0.306411
