#{"t_start": 1676271951.538365, "env_id": null}
r,l,t
-269.85574,30,0.015683
-266.66708,30,0.015745
-271.15378,30,0.015755
-270.68158,30,0.015774
-254.34563,30,0.030517
-276.73334,30,0.030575
-260.72446,30,0.030584
-277.69174,30,0.030592
-265.49054,30,0.042998
-256.50577,30,0.043058
-264.1313,30,0.043068
-265.58228,30,0.043075
-273.7147,30,0.063851
-253.6587,30,0.063903
-265.48343,30,0.063912
-265.76657,30,0.06392
-269.57626,30,0.075178
-268.3306,30,0.075226
-256.6535,30,0.075234
-271.21985,30,0.07524
-259.24377,30,0.086424
-269.50565,30,0.086462
-260.55756,30,0.08647
-265.21606,30,0.086477
-262.28854,30,0.103885
-245.99028,30,0.103938
-263.54083,30,0.103948
-270.87946,30,0.103955
-269.94022,30,0.115561
-267.1488,30,0.115609
-263.4253,30,0.115617
-274.93115,30,0.115624
-264.2616,30,0.126762
-261.12415,30,0.12681
-251.11894,30,0.126822
-276.477,30,0.126829
-261.57172,30,0.137194
-255.56505,30,0.137213
-267.39807,30,0.137222
-263.43027,30,0.137232
-274.7846,30,0.147527
-253.56075,30,0.147545
-259.86475,30,0.147553
-264.8003,30,0.147559
-262.96658,30,0.157977
-261.3454,30,0.158005
-258.37076,30,0.158013
-275.4955,30,0.158019
-254.80624,30,0.168726
-251.25214,30,0.168748
-254.85368,30,0.168755
-257.84647,30,0.168761
-266.1193,30,0.179219
-263.71384,30,0.179256
-262.39728,30,0.179264
-266.82788,30,0.17927
-260.17886,30,0.189782
-270.49918,30,0.189813
-268.4385,30,0.189822
-264.41898,30,0.189828
-267.63904,30,0.200793
-266.95392,30,0.200847
-263.52634,30,0.200855
-253.93282,30,0.200862
-249.51004,30,0.212255
-253.56398,30,0.212291
-275.03964,30,0.212302
-267.58746,30,0.212311
-264.1545,30,0.223799
-254.85176,30,0.223824
-255.97513,30,0.223833
-261.4571,30,0.223842
-254.00748,30,0.234463
-266.9759,30,0.234488
-255.58531,30,0.234497
-258.09106,30,0.234506
-252.11354,30,0.245509
-256.9214,30,0.245528
