#{"t_start": 1676269165.211627, "env_id": null}
r,l,t
-265.65475,30,0.045163
-270.0311,30,0.045219
-265.17474,30,0.045231
-265.3265,30,0.04524
-260.41702,30,0.07212
-265.1369,30,0.072179
-265.7603,30,0.072193
-275.0869,30,0.072201
-265.50925,30,0.099321
-258.3578,30,0.099379
-268.24225,30,0.09939
-265.4049,30,0.099399
-274.04883,30,0.123637
-268.9584,30,0.123694
-265.82013,30,0.123705
-253.08931,30,0.123714
-265.57208,30,1.792161
-252.51941,30,1.792222
-252.61023,30,1.792234
-255.06216,30,1.792243
-274.68353,30,1.816151
-249.91525,30,1.816192
-257.48096,30,1.816202
-255.49974,30,1.816211
-273.07697,30,1.840221
-258.94403,30,1.840278
-259.43945,30,1.840288
-262.87152,30,1.840297
-257.84875,30,1.864173
-270.1822,30,1.864227
-265.15848,30,1.864238
-265.976,30,1.864247
-264.17648,30,3.426379
-265.7966,30,3.426437
-247.66579,30,3.426448
-250.16757,30,3.426456
-248.83528,30,3.448032
-265.0956,30,3.448088
-260.62518,30,3.4481
-257.89578,30,3.448109
-261.72913,30,3.469128
-254.69514,30,3.46917
-273.99957,30,3.469181
-241.5129,30,3.469189
-268.03088,30,3.489493
-261.25388,30,3.489534
-258.88828,30,3.489545
-265.92264,30,3.489554
-256.918,30,5.106391
-264.97208,30,5.106446
-266.3281,30,5.106457
-261.68875,30,5.106466
-272.5447,30,5.128998
-257.11194,30,5.129038
-280.02817,30,5.129048
-267.72327,30,5.129057
-255.17552,30,5.151916
-249.27597,30,5.151977
-266.0837,30,5.151989
-259.8277,30,5.151997
-261.70667,30,5.173468
-256.4602,30,5.173515
-251.36028,30,5.173526
-271.13785,30,5.173535
-271.17047,30,5.195839
-255.2125,30,5.195878
-262.90546,30,5.195888
-262.6676,30,5.195896
-270.01712,30,6.789544
-258.30167,30,6.789611
-258.29477,30,6.789622
-262.80682,30,6.78963
-264.61356,30,6.807617
-275.7407,30,6.807657
-263.4322,30,6.807667
-274.2388,30,6.807675
-259.29596,30,6.825475
-259.22144,30,6.82551
-277.9569,30,6.82552
-271.1431,30,6.825528
-268.68533,30,6.843532
-257.3466,30,6.84358
-256.2052,30,6.843592
-268.70264,30,6.8436
-267.56607,30,8.489544
-257.45804,30,8.489606
-273.69922,30,8.48962
-256.0134,30,8.489628
-261.6402,30,8.509172
-252.51761,30,8.50922
-267.0795,30,8.509231
-260.65207,30,8.509239
-240.43544,30,8.528902
-277.8904,30,8.52895
-262.3585,30,8.52896
-277.53348,30,8.528969
-263.6663,30,8.549964
-272.759,30,8.550003
-276.57483,30,8.550013
-262.49612,30,8.550022
-263.27856,30,10.150452
-262.93723,30,10.150513
-254.75262,30,10.150527
-255.71002,30,10.150536
-274.80634,30,10.175246
-266.94183,30,10.175291
-270.59622,30,10.175301
-276.553,30,10.175309
-271.57205,30,10.200882
-262.06174,30,10.20093
-267.0069,30,10.200943
-251.4709,30,10.200951
-265.516,30,10.225256
-255.67722,30,10.225299
-256.83435,30,10.225308
-266.7625,30,10.225316
-262.44354,30,11.888045
-290.061,30,11.888105
-274.5341,30,11.888117
-263.68637,30,11.888125
-250.28627,30,11.907809
-237.40868,30,11.907862
-257.4717,30,11.907873
-273.75244,30,11.907882
-264.49384,30,11.927007
-278.12833,30,11.927051
-253.04265,30,11.927061
-261.55484,30,11.92707
-259.80536,30,11.945305
-264.65128,30,11.94535
-253.26387,30,11.94536
-264.19177,30,11.945368
-287.8363,30,11.964826
-264.7268,30,11.964864
-267.01215,30,11.964873
-263.61807,30,11.964882
-266.3704,30,13.745988
-275.62143,30,13.746176
-273.6074,30,13.746233
-266.57077,30,13.746246
-266.27612,30,13.781923
-258.7669,30,13.781986
-271.3199,30,13.781998
-269.858,30,13.782008
-259.77063,30,13.807551
-251.98907,30,13.807611
-253.91217,30,13.807622
-262.60815,30,13.80763
-260.79724,30,13.831927
-273.78748,30,13.83198
-265.30585,30,13.831992
-262.13678,30,13.832
-260.29797,30,15.493107
-253.76878,30,15.493161
-265.53995,30,15.493172
-265.21487,30,15.493183
-262.807,30,15.516537
-270.38266,30,15.516582
-264.98422,30,15.516592
-261.04028,30,15.5166
-266.15262,30,15.541609
-264.41193,30,15.541652
-251.74016,30,15.541662
-269.11713,30,15.54167
-266.44595,30,15.566328
-249.94098,30,15.566367
-267.77158,30,15.566377
-268.32785,30,15.566385
-258.8284,30,17.175553
-273.4063,30,17.17561
-272.49072,30,17.175632
-259.211,30,17.17564
-255.92914,30,17.200077
-258.95767,30,17.200113
-254.15851,30,17.200121
-268.3382,30,17.200128
-277.15305,30,17.222438
-249.65584,30,17.222481
-263.5913,30,17.222489
-256.98343,30,17.222496
-252.58772,30,17.24583
-258.0434,30,17.245879
-240.57236,30,17.245888
-254.73572,30,17.245895
-274.30505,30,18.783423
-261.886,30,18.783484
