#{"t_start": 1676240097.35793, "env_id": null}
r,l,t
-7.202076,30,0.064051
-61.54213,30,0.064114
10.913773,30,0.064126
104.773544,30,0.064135
-70.33263,30,0.279555
-56.321526,30,0.279617
16.938246,30,0.279627
-57.92079,30,0.279638
82.84718,30,0.490379
104.11251,30,0.490441
9.672264,30,0.490451
47.301353,30,0.490459
-91.50291,30,0.69883
-222.07228,30,0.698889
-77.38895,30,0.698899
-174.30531,30,0.698911
-86.307625,30,0.917433
-33.71844,30,0.91749
186.19873,30,0.917501
-11.345935,30,0.917514
104.6517,30,1.132176
-71.06558,30,1.132219
69.575516,30,1.132232
-12.148783,30,1.132241
-13.247492,30,1.352561
128.83891,30,1.352613
1.4805601,30,1.352624
67.34876,30,1.352633
22.70079,30,1.567798
22.896942,30,1.567857
-95.09231,30,1.567868
-7.2122364,30,1.567879
75.915955,30,1.780138
39.49393,30,1.78019
40.07647,30,1.780201
-99.88374,30,1.78021
35.72568,30,2.02433
-158.95209,30,2.024375
-4.6539993,30,2.024386
26.60197,30,2.024394
155.71437,30,2.248728
155.057,30,2.248788
-111.02357,30,2.248805
23.609097,30,2.248814
-51.057632,30,2.478247
44.10633,30,2.4783
74.905334,30,2.478312
-79.50252,30,2.478324
101.971176,30,2.697524
-0.9646354,30,2.697572
7.4165516,30,2.697583
134.35318,30,2.697592
81.67116,30,2.930787
35.03241,30,2.930848
-49.596336,30,2.93086
132.51526,30,2.930869
66.317795,30,3.163021
67.799034,30,3.163077
54.0326,30,3.16309
132.10663,30,3.163099
-48.04121,30,3.389616
45.605667,30,3.389668
92.11386,30,3.389679
-63.172546,30,3.389688
-39.181934,30,3.613306
-63.600452,30,3.613366
29.307774,30,3.613378
121.50452,30,3.613387
28.261005,30,3.877209
159.92232,30,3.877271
138.83203,30,3.877286
219.8472,30,3.877294
-95.14376,30,4.087466
-16.80241,30,4.087538
-77.176414,30,4.087551
35.449127,30,4.087559
-20.464119,30,4.301478
127.87041,30,4.301545
-96.55533,30,4.301556
64.10025,30,4.301564
31.350225,30,4.509746
26.635983,30,4.509808
64.46622,30,4.509819
-24.98993,30,4.509828
58.79054,30,4.722027
63.700047,30,4.722088
174.5466,30,4.722099
51.413048,30,4.722107
228.53874,30,4.933567
77.60476,30,4.933629
176.76929,30,4.93364
56.474422,30,4.933649
73.2698,30,5.138459
216.33606,30,5.138519
-61.24404,30,5.138529
136.2967,30,5.138537
1.2788541,30,5.346269
93.505325,30,5.346329
127.91213,30,5.346355
172.52487,30,5.346365
19.895266,30,5.557673
152.8116,30,5.55773
162.8052,30,5.557742
-68.89362,30,5.55775
136.15202,30,5.763999
143.79015,30,5.764057
-123.95871,30,5.764068
-35.66677,30,5.764077
111.17865,30,5.967057
77.47375,30,5.967119
119.11061,30,5.967132
112.99721,30,5.967141
59.60388,30,6.185147
71.69531,30,6.185205
17.919548,30,6.185215
123.914734,30,6.185223
52.99357,30,6.406147
32.097057,30,6.406216
197.43466,30,6.406227
68.856384,30,6.406235
183.61752,30,6.647513
39.4859,30,6.6476
167.07751,30,6.647621
185.62212,30,6.64763
11.25823,30,6.865351
-66.297104,30,6.865412
120.96436,30,6.865424
202.8086,30,6.865433
-56.379498,30,7.087096
112.7329,30,7.087163
1.2058697,30,7.087174
21.789438,30,7.087183
184.9228,30,7.304578
-11.242019,30,7.304644
10.210255,30,7.304654
94.71083,30,7.304663
54.309147,30,7.527233
55.713856,30,7.527293
142.20866,30,7.527304
122.52126,30,7.527313
38.738205,30,7.749734
133.61087,30,7.749819
72.63296,30,7.749831
5.243844,30,7.749841
214.2088,30,7.965789
135.04504,30,7.965842
-14.7426605,30,7.965857
7.863346,30,7.965867
103.49344,30,8.179033
122.78717,30,8.179086
92.18677,30,8.179097
152.91144,30,8.179109
177.28482,30,8.396896
229.47546,30,8.396955
56.340607,30,8.396968
113.08107,30,8.396977
131.76793,30,8.613691
166.02106,30,8.613748
-37.911957,30,8.613759
126.86603,30,8.613767
197.83118,30,8.821331
167.6166,30,8.821389
54.855606,30,8.821401
114.68222,30,8.821413
101.10249,30,9.031382
85.80917,30,9.031439
91.66661,30,9.031452
150.86905,30,9.031461
261.98782,30,9.237899
156.44386,30,9.237958
138.16487,30,9.237969
68.53591,30,9.237977
141.73802,30,9.442093
88.44849,30,9.442151
169.47461,30,9.442162
94.04526,30,9.44217
114.673416,30,9.663704
148.67232,30,9.663767
139.19731,30,9.663793
169.39342,30,9.6638
127.2148,30,9.910393
197.30266,30,9.910441
155.8245,30,9.910453
128.71896,30,9.910462
96.428825,30,10.121718
-17.931408,30,10.121775
183.40796,30,10.121786
75.5492,30,10.121795
