#{"t_start": 1676269037.200416, "env_id": null}
r,l,t
-59.388134,30,0.075041
-72.38536,30,0.075097
12.3330555,30,0.075106
109.12581,30,0.075117
-175.47455,30,0.49304
-39.20701,30,0.4931
-29.338385,30,0.493112
-55.62903,30,0.493118
-30.328274,30,0.928057
-67.38476,30,0.928107
-161.17313,30,0.928116
1.2544298,30,0.928123
-0.96313524,30,1.346082
172.53496,30,1.346137
65.46891,30,1.346147
79.783295,30,1.346153
-30.947788,30,1.749741
128.3694,30,1.749796
47.783802,30,1.749806
-163.88748,30,1.749812
125.34447,30,2.19801
9.726178,30,2.19807
-15.044053,30,2.198079
162.12155,30,2.198086
-2.8443174,30,2.60459
97.30578,30,2.60466
119.478035,30,2.60467
-19.861225,30,2.604677
41.06564,30,3.007562
-86.002365,30,3.007614
61.100677,30,3.007623
130.48479,30,3.00763
-142.80354,30,3.40453
-39.551407,30,3.404587
24.109575,30,3.404597
-79.11329,30,3.404604
7.2048054,30,3.804421
62.934357,30,3.804472
-207.7232,30,3.804485
-143.7115,30,3.804491
212.5861,30,4.200617
125.18078,30,4.200674
53.47734,30,4.200683
75.350876,30,4.20069
-140.76976,30,4.596146
16.867683,30,4.596202
28.648777,30,4.596211
68.038475,30,4.596221
0.69441795,30,4.995438
161.04512,30,4.995492
212.971,30,4.995501
2.768464,30,4.995508
206.83452,30,5.396275
25.001377,30,5.396331
178.86737,30,5.39634
-69.498825,30,5.396347
-47.457542,30,5.799991
103.14564,30,5.800048
156.07352,30,5.800057
46.63663,30,5.800063
13.838745,30,6.199679
10.801708,30,6.19973
100.42568,30,6.19974
-153.88153,30,6.199746
-69.81327,30,6.596109
97.375755,30,6.596167
142.79845,30,6.596176
168.55743,30,6.596183
-17.405457,30,7.001691
80.75055,30,7.001744
100.82569,30,7.001753
-3.0195265,30,7.00176
19.919977,30,7.397958
44.02171,30,7.39802
115.35074,30,7.398028
49.55114,30,7.398035
18.044617,30,7.794404
2.0707285,30,7.794469
76.23012,30,7.79448
-27.145103,30,7.794487
