#{"t_start": 1676267973.041876, "env_id": null}
r,l,t
-266.31445,30,0.01607
-252.3642,30,0.016126
-264.36896,30,0.016138
-267.56403,30,0.016147
-268.11212,30,0.02778
-268.12152,30,0.027831
-264.9509,30,0.027841
-282.04453,30,0.02785
-255.8532,30,0.039222
-267.7482,30,0.039275
-272.59174,30,0.039286
-271.623,30,0.039294
-263.95776,30,0.050226
-266.03134,30,0.050251
-273.12006,30,0.050261
-271.45264,30,0.050269
-257.35834,30,0.061416
-276.605,30,0.061456
-263.1392,30,0.061466
-264.28857,30,0.061474
-245.6642,30,0.072081
-257.13712,30,0.072119
-253.7883,30,0.072131
-261.1615,30,0.072139
-256.26663,30,0.083916
-255.63531,30,0.083974
-263.30655,30,0.083985
-253.14465,30,0.083993
-268.14236,30,0.095339
-257.6991,30,0.095391
-258.88693,30,0.095402
-278.294,30,0.095411
-274.51505,30,0.106175
-248.07533,30,0.106205
-258.84863,30,0.106214
-260.695,30,0.106222
-262.7513,30,0.1172
-261.6034,30,0.117254
-269.60266,30,0.117264
-258.33603,30,0.117272
-273.76855,30,0.128585
-256.53427,30,0.128636
-258.981,30,0.128647
-276.437,30,0.128655
-259.65973,30,0.139416
-259.4276,30,0.13945
-269.51672,30,0.139459
-273.76694,30,0.139467
-249.7945,30,0.150292
-262.86688,30,0.15033
-268.57672,30,0.150339
-266.8569,30,0.150347
-271.2538,30,0.161878
-267.98492,30,0.161907
-254.74222,30,0.161915
-260.28275,30,0.161923
-268.33054,30,0.17294
-279.38193,30,0.172983
-267.38193,30,0.172993
-261.09583,30,0.173001
-263.9496,30,0.183669
-252.42032,30,0.183711
-261.6337,30,0.18372
-254.7329,30,0.183728
-263.75775,30,0.19532
-264.54984,30,0.195349
-266.93137,30,0.195357
-269.90863,30,0.195364
-261.70895,30,0.207149
-261.96445,30,0.207193
-255.37169,30,0.207203
-247.53125,30,0.207211
-253.51462,30,0.219035
-257.3228,30,0.219067
-269.61313,30,0.219077
-257.96335,30,0.219086
-269.50128,30,0.229993
-264.1431,30,0.230041
-262.15842,30,0.230051
-258.16495,30,0.230063
-254.70705,30,0.241143
-260.18494,30,0.241189
-260.73132,30,0.241198
-283.0277,30,0.241206
-266.025,30,0.252773
-261.47968,30,0.252851
-260.92142,30,0.252863
-273.7632,30,0.252871
-267.20465,30,0.264114
-262.0653,30,0.264171
-268.73215,30,0.264183
-271.9299,30,0.264192
-257.57782,30,0.276019
-262.1632,30,0.276069
-262.1216,30,0.276079
-255.37457,30,0.276088
-280.52063,30,0.287179
-263.1285,30,0.287221
-251.26201,30,0.287231
-256.91333,30,0.287243
-258.07556,30,0.298208
-260.8297,30,0.298241
-255.72336,30,0.29825
-267.5318,30,0.29826
-259.63574,30,0.309258
-290.97626,30,0.309311
-263.3212,30,0.309323
-262.96686,30,0.309332
-269.00378,30,0.320344
-257.06427,30,0.320397
-258.39206,30,0.320408
-269.66843,30,0.320416
-254.88055,30,0.33153
-264.30292,30,0.331569
-251.32245,30,0.331581
-278.08752,30,0.331589
-263.2687,30,0.34234
-267.53284,30,0.342376
-267.40833,30,0.342387
-245.27075,30,0.342395
-264.95178,30,0.353487
-260.26993,30,0.353528
-278.57385,30,0.353538
-266.26572,30,0.353549
-259.3808,30,0.364539
-252.38428,30,0.364577
-260.84424,30,0.36459
-263.05222,30,0.364597
-268.17856,30,0.375651
-269.26077,30,0.375694
-259.94775,30,0.375708
-249.08937,30,0.375716
-258.75067,30,0.386193
-271.6546,30,0.386213
-275.75912,30,0.386221
-283.7904,30,0.386229
-251.74672,30,0.396758
-254.67992,30,0.396776
-262.6545,30,0.396786
-268.08585,30,0.396794
-252.10666,30,0.40727
-266.31442,30,0.407284
-265.06143,30,0.407293
-269.50778,30,0.4073
-262.9704,30,0.417985
-267.22778,30,0.418025
-266.17896,30,0.418034
-271.587,30,0.418042
-267.2779,30,0.428505
-269.5001,30,0.428523
-253.40848,30,0.428533
-260.36945,30,0.428541
-266.00192,30,0.43887
-261.93823,30,0.438886
-259.2525,30,0.438894
-260.86038,30,0.438902
-245.60594,30,0.449202
-260.1221,30,0.44922
-275.9873,30,0.449229
-260.59882,30,0.449237
-276.46838,30,0.459546
-261.92395,30,0.459562
-254.4373,30,0.45957
-263.95114,30,0.459577
-270.265,30,0.469841
-260.58267,30,0.469855
-253.61758,30,0.469864
-255.29344,30,0.469871
-269.73898,30,0.480155
-241.74852,30,0.48017
-255.58261,30,0.480178
-261.84766,30,0.480185
-264.49704,30,0.49046
-253.00821,30,0.490476
-245.08372,30,0.490483
-259.63828,30,0.490489
-270.5589,30,0.500733
-266.68793,30,0.500746
-272.6267,30,0.500753
-271.11298,30,0.500759
-255.00996,30,0.511287
-259.27322,30,0.511323
-272.50842,30,0.511331
-251.9927,30,0.511338
-261.4525,30,0.522068
-260.0715,30,0.522114
-261.68112,30,0.522124
-263.38135,30,0.522131
-264.0337,30,0.532499
-259.41714,30,0.532514
-273.3949,30,0.532521
-263.19418,30,0.532527
-256.66766,30,0.542868
-264.7825,30,0.542882
-269.32874,30,0.542894
-267.22235,30,0.542904
-259.67487,30,0.553298
-273.24728,30,0.553319
-266.6273,30,0.553326
-264.56433,30,0.553332
-264.01654,30,0.563585
-261.9682,30,0.563598
-260.56274,30,0.563605
-274.09454,30,0.563611
-265.44165,30,0.574009
-258.943,30,0.574029
-245.55101,30,0.574037
-254.89449,30,0.574045
-259.2904,30,0.584416
-271.33212,30,0.58443
-261.65665,30,0.584437
-275.29092,30,0.584443
-262.51175,30,0.595864
-272.6513,30,0.595911
-271.40622,30,0.595921
-270.3635,30,0.595928
-260.30396,30,0.606822
-268.94885,30,0.606862
-262.71756,30,0.606869
-260.449,30,0.606876
-267.41196,30,0.617678
-271.7187,30,0.617716
-239.40903,30,0.617723
-269.4097,30,0.617729
-273.93307,30,0.628655
-267.24863,30,0.628693
-271.9011,30,0.628701
-279.41116,30,0.628707
-255.08316,30,0.639083
-274.01266,30,0.639096
-260.69162,30,0.639102
-271.89996,30,0.639109
-282.66254,30,0.649467
-262.78098,30,0.649481
-258.2222,30,0.649488
-271.95282,30,0.649496
-270.86142,30,0.659922
-259.47888,30,0.659944
-271.69785,30,0.659952
-263.94232,30,0.659961
-266.82294,30,0.670384
-264.86984,30,0.670403
-266.5147,30,0.67041
-274.22562,30,0.670416
-265.7494,30,0.680869
-252.51074,30,0.680897
-260.3416,30,0.680904
-268.91766,30,0.68091
-266.50055,30,0.691276
-267.93182,30,0.6913
-261.49423,30,0.691307
-268.3768,30,0.691313
-257.551,30,0.702009
-255.35681,30,0.702046
-263.12985,30,0.702053
-263.72653,30,0.70206
-261.07126,30,0.712811
-282.97412,30,0.712855
-273.4723,30,0.712863
-262.3821,30,0.71287
-259.40338,30,0.723881
-258.13193,30,0.723932
-264.38736,30,0.72394
-267.14478,30,0.723946
-262.4435,30,0.734792
-263.82297,30,0.734825
-267.3572,30,0.734832
-268.16046,30,0.734838
-258.36566,30,0.745257
-272.11575,30,0.745276
-256.81265,30,0.745282
-251.73181,30,0.745288
-268.3488,30,1.250531
-249.02594,30,1.250576
-264.41876,30,1.250585
-254.94427,30,1.250592
-274.93933,30,1.261291
-236.91402,30,1.261315
-255.42563,30,1.261323
-260.7866,30,1.261329
-273.2343,30,1.271936
-265.3116,30,1.271954
-258.723,30,1.271967
-254.93942,30,1.271973
-266.81763,30,1.282499
-273.6974,30,1.282528
-263.56058,30,1.282536
-279.42664,30,1.282542
-250.68417,30,1.29318
-248.34685,30,1.293208
-273.62823,30,1.293215
-252.9717,30,1.293221
-252.85922,30,1.303635
-260.84158,30,1.303658
-276.36978,30,1.303666
-257.48752,30,1.303672
-255.74963,30,1.314205
-257.6042,30,1.314236
-261.85095,30,1.314245
-261.58844,30,1.314251
-261.38263,30,1.32498
-271.4473,30,1.325014
-261.9467,30,1.325022
-267.99542,30,1.325028
-265.19873,30,1.335935
-279.8535,30,1.335968
-246.93245,30,1.335975
-266.12897,30,1.335981
-241.85793,30,1.346532
-260.99554,30,1.346554
-266.85526,30,1.346561
-253.74174,30,1.346567
-243.78871,30,1.357616
-245.44629,30,1.357648
-269.82993,30,1.357655
-255.83098,30,1.357661
-253.85742,30,1.36845
-272.93607,30,1.368485
-259.39627,30,1.368493
-258.20386,30,1.368499
-257.54657,30,1.378874
-265.03207,30,1.378898
-261.01465,30,1.378905
-264.8235,30,1.378911
-275.85226,30,1.389875
-269.33267,30,1.389908
-257.54633,30,1.389916
-259.7836,30,1.389922
-267.36072,30,1.400212
-265.37625,30,1.400225
-272.02957,30,1.400234
-253.56804,30,1.40024
-248.71178,30,1.411175
-262.3355,30,1.411207
-265.98618,30,1.411215
-277.21423,30,1.411221
-266.78693,30,1.42205
-280.3592,30,1.422096
-256.8943,30,1.422107
-270.44617,30,1.422113
-255.26102,30,1.432363
-257.08176,30,1.432379
-256.0163,30,1.432386
-260.9969,30,1.432392
-246.70566,30,1.44284
-262.34943,30,1.442857
-248.60107,30,1.442877
-271.74118,30,1.442884
-277.48026,30,1.453351
-258.80832,30,1.453369
-265.71283,30,1.453377
-262.91956,30,1.453383
-256.00916,30,1.46373
-259.0116,30,1.463746
-261.7093,30,1.463753
-247.93256,30,1.463759
-264.81003,30,1.474418
-259.1137,30,1.474464
-270.23395,30,1.474473
-239.93011,30,1.47448
-248.10841,30,1.485139
-264.3097,30,1.485165
-258.80692,30,1.485172
-258.0656,30,1.485178
-263.9914,30,1.495573
-252.0366,30,1.495589
-259.23935,30,1.495597
-277.5338,30,1.495603
-253.36978,30,1.505918
-263.49225,30,1.505933
-255.59743,30,1.505939
-254.8142,30,1.505945
-258.37112,30,1.516341
