#{"t_start": 1676296432.4257889, "env_id": "NetworkManagement-v1"}
r,l,t
-342.4,30,0.193149
-340.037,30,0.380744
-331.29,30,0.554272
-332.42,30,0.729056
-324.181,30,0.900764
-333.876,30,1.077055
-312.493,30,1.257848
-301.72,30,1.432023
-306.041,30,1.611643
-313.243,30,1.802441
-296.818,30,1.978241
-282.307,30,2.150132
-301.217,30,2.325988
-313.894,30,2.505117
-294.558,30,2.682368
-292.973,30,2.855517
-298.097,30,3.028546
-323.414,30,3.200063
-306.943,30,3.372164
-305.632,30,3.547075
-339.404,30,3.721135
-311.876,30,3.899347
-312.298,30,4.076966
-328.07,30,4.255395
-305.117,30,4.432508
-329.983,30,4.610365
-317.253,30,4.786961
-322.325,30,4.963258
-319.092,30,5.140017
-303.867,30,5.312597
-323.344,30,5.489094
-306.568,30,5.666059
-300.594,30,5.844417
-293.045,30,6.024701
-282.399,30,6.199556
-262.509,30,6.376145
-295.575,30,6.565408
-302.356,30,6.742964
-297.642,30,6.919825
-293.648,30,7.09461
-292.148,30,7.278722
-293.806,30,7.454309
-271.751,30,7.629988
-306.197,30,7.810903
-292.71,30,7.995462
-314.471,30,8.183197
-273.864,30,8.359339
-280.966,30,8.533347
-293.947,30,8.710853
-290.031,30,8.882143
-294.584,30,9.061626
-283.157,30,9.236733
-256.842,30,9.41259
-279.727,30,9.59147
-282.617,30,9.764326
-285.702,30,9.936193
-293.83,30,10.11003
-280.624,30,10.28563
-288.24,30,10.457668
-278.516,30,10.631317
-314.23,30,10.805418
-289.561,30,10.977541
-309.015,30,11.149487
-336.453,30,11.323765
-287.068,30,11.496724
-317.377,30,11.667576
-314.083,30,11.841929
-305.042,30,12.013703
-279.205,30,12.185515
-300.317,30,12.357102
-307.148,30,12.534244
-284.534,30,12.705978
-284.851,30,12.878165
-290.411,30,13.053547
-303.797,30,13.22713
-301.765,30,13.400088
-305.538,30,13.574197
-322.914,30,13.749859
-328.195,30,13.926093
-299.093,30,14.114806
-291.759,30,14.296933
-319.334,30,14.47195
-309.341,30,14.644476
-330.912,30,14.818906
-297.282,30,14.995856
-317.303,30,15.179961
-306.879,30,15.37112
-315.072,30,15.547909
-314.39,30,15.723624
-308.034,30,15.902429
-299.273,30,16.083492
-326.626,30,16.260571
-310.611,30,16.433411
-295.36,30,16.607389
-280.75,30,16.782168
-288.429,30,16.956397
-283.36,30,17.131554
-300.672,30,17.309265
-276.583,30,17.483629
-299.533,30,17.660463
-304.133,30,17.834987
-292.528,30,18.011313
-307.841,30,18.183002
-282.632,30,18.356566
-275.965,30,18.529523
-290.68,30,18.702599
-289.893,30,18.875838
-324.386,30,19.050318
-297.016,30,19.221743
-290.121,30,19.393549
-304.431,30,19.568159
-295.999,30,19.741466
-315.747,30,19.913028
-290.887,30,20.087729
-322.015,30,20.260315
-333.411,30,20.43377
-306.411,30,20.608548
-298.1,30,20.780145
-301.329,30,20.951587
