#{"t_start": 1676293154.861192, "env_id": null}
r,l,t
-316.406,30,1.747823
-344.01898,30,1.747882
-343.00797,30,1.747895
-318.57602,30,1.747902
-318.971,30,1.747911
-324.507,30,1.74792
-312.90698,30,1.747925
-331.81696,30,1.74793
-351.87195,30,1.747935
-328.20297,30,1.74794
-328.06097,30,3.460936
-334.688,30,3.460988
-324.02,30,3.460997
-318.601,30,3.461004
-349.08896,30,3.461009
-327.477,30,3.461015
-337.887,30,3.46102
-333.19104,30,3.461025
-325.262,30,3.46103
-330.64102,30,3.461038
-308.25098,30,5.152874
-303.31,30,5.152929
-318.12903,30,5.152939
-310.748,30,5.152946
-326.36002,30,5.152951
-323.87003,30,5.15296
-339.155,30,5.152965
-328.92603,30,5.15297
-328.96097,30,5.152977
-341.189,30,5.152983
-332.31708,30,6.858189
-313.31796,30,6.858245
-321.794,30,6.858254
-310.62,30,6.85826
-325.84598,30,6.858266
-329.85297,30,6.858272
-319.074,30,6.85828
-303.39005,30,6.858285
-314.22,30,6.858291
-328.39096,30,6.858299
-316.822,30,8.56014
-312.0,30,8.560191
-304.03696,30,8.560201
-311.251,30,8.560208
-304.75998,30,8.560215
-306.59,30,8.560221
-342.45502,30,8.560226
-307.022,30,8.560232
-322.154,30,8.560237
-304.409,30,8.560242
-334.43997,30,10.261625
-303.987,30,10.261678
-300.47998,30,10.261688
-311.97397,30,10.261695
-309.713,30,10.261701
-323.93802,30,10.261707
-311.41498,30,10.261715
-325.23004,30,10.26172
-302.66498,30,10.261725
-307.62198,30,10.261731
-349.522,30,11.997021
-322.08698,30,11.997084
-317.63803,30,11.997094
-341.83298,30,11.997103
-325.73297,30,11.997109
-329.28796,30,11.997115
-330.104,30,11.99712
-313.04,30,11.997126
-320.66602,30,11.997131
-352.69504,30,11.997136
-312.023,30,13.69598
-295.844,30,13.696047
-336.24603,30,13.696057
-336.859,30,13.696064
-330.55304,30,13.69607
-332.896,30,13.696075
-318.369,30,13.696081
-319.45502,30,13.696086
-317.831,30,13.696092
-337.21997,30,13.696097
-312.974,30,15.391341
-288.997,30,15.391397
-281.10498,30,15.391407
-314.98303,30,15.391413
-305.274,30,15.39142
-319.988,30,15.391426
-316.422,30,15.391431
-287.393,30,15.391436
-310.74997,30,15.391442
-286.391,30,15.391447
-327.06497,30,17.081011
-321.856,30,17.081074
-334.101,30,17.081086
-309.34702,30,17.081095
-310.74603,30,17.081102
-306.08203,30,17.081109
-323.502,30,17.081116
-327.41098,30,17.081123
-322.736,30,17.081129
-312.635,30,17.081136
-309.796,30,18.783413
-316.46802,30,18.783485
-311.351,30,18.783498
-325.57797,30,18.783506
-324.387,30,18.783514
-318.86298,30,18.783521
-312.83203,30,18.783528
-322.57898,30,18.783535
-328.36798,30,18.783541
-317.42502,30,18.783548
-330.72903,30,20.507633
-315.00803,30,20.50769
-327.08994,30,20.507701
-314.758,30,20.507713
-318.71,30,20.50772
-326.55005,30,20.507727
-332.01703,30,20.507734
-308.662,30,20.507741
-322.15802,30,20.507747
-299.72,30,20.507753
-290.71103,30,22.188112
-320.00797,30,22.188169
-294.70197,30,22.18818
-293.50497,30,22.188189
-311.98196,30,22.188199
-290.598,30,22.188206
-289.312,30,22.188213
-322.13998,30,22.188222
-305.284,30,22.188229
-312.837,30,22.188235
-295.323,30,23.873111
-277.642,30,23.873168
-274.92902,30,23.87318
-291.892,30,23.873188
-321.957,30,23.873196
-293.67,30,23.873203
-297.732,30,23.873212
-289.975,30,23.873219
-301.41098,30,23.873226
-298.638,30,23.873232
-323.09094,30,25.585294
-302.034,30,25.585357
-298.211,30,25.585368
-289.809,30,25.585376
-293.13702,30,25.585383
-294.306,30,25.585391
-299.793,30,25.585397
-327.01797,30,25.585404
-297.075,30,25.585411
-293.058,30,25.585417
-271.0,30,27.32214
-262.906,30,27.322205
-294.005,30,27.322216
-298.60098,30,27.322224
-288.284,30,27.322232
-296.903,30,27.322239
-284.384,30,27.32225
-297.091,30,27.322258
-286.57803,30,27.322264
-266.96902,30,27.322271
-294.612,30,29.062484
-274.161,30,29.062542
-289.28302,30,29.062553
-300.81705,30,29.062561
-284.519,30,29.062568
-290.78998,30,29.062576
-298.35098,30,29.062582
-290.40402,30,29.062589
-301.984,30,29.062595
-287.856,30,29.062604
-313.30502,30,30.755676
-303.10602,30,30.755737
-310.136,30,30.755757
-284.29898,30,30.755765
-291.65598,30,30.755771
-308.70996,30,30.755779
-302.276,30,30.755785
-308.066,30,30.75579
-300.034,30,30.755796
-290.67197,30,30.755801
-300.47,30,32.450209
-315.86603,30,32.450276
-314.34998,30,32.450286
-307.191,30,32.450293
-294.29797,30,32.450299
-284.65598,30,32.450307
-291.38303,30,32.450312
-301.72302,30,32.450318
-289.074,30,32.450323
-324.80002,30,32.450331
-306.91296,30,34.13545
-262.73297,30,34.135516
-279.177,30,34.135527
-296.718,30,34.135534
-294.21002,30,34.13554
-274.94803,30,34.135547
-264.219,30,34.135553
-275.647,30,34.135559
-288.128,30,34.135565
-297.99997,30,34.135571
-289.23898,30,35.840436
-289.99203,30,35.840494
-302.754,30,35.840504
-287.952,30,35.840511
-303.914,30,35.840517
-286.871,30,35.840523
-307.612,30,35.840528
-308.82703,30,35.840533
-298.37802,30,35.840539
-262.22498,30,35.840544
-310.945,30,37.555492
-305.864,30,37.555544
-311.372,30,37.555555
-295.99802,30,37.555561
-306.77197,30,37.555567
-298.024,30,37.555573
-311.49805,30,37.555579
-300.35696,30,37.555584
-318.112,30,37.555589
-307.92297,30,37.555594
-313.16296,30,39.273446
-294.61798,30,39.273498
-301.56403,30,39.273508
-321.965,30,39.273515
-309.12,30,39.273522
-312.874,30,39.273528
-310.867,30,39.273533
-285.55103,30,39.273539
-325.33594,30,39.273544
-321.66803,30,39.27355
-323.50803,30,41.009049
-301.75,30,41.009101
-302.74802,30,41.009114
-343.746,30,41.00912
-307.14597,30,41.009128
-313.997,30,41.009134
-316.43002,30,41.009139
-292.90298,30,41.009145
-302.15405,30,41.00915
-303.07602,30,41.009156
