#{"t_start": 1676294663.794799, "env_id": null}
r,l,t
-312.08603,30,0.181625
-358.09302,30,0.367448
-338.514,30,0.555835
-323.711,30,0.742833
-328.034,30,0.929487
-315.74503,30,1.116555
-320.20102,30,1.30163
-338.34,30,1.485223
-325.542,30,1.669446
-311.025,30,1.853395
-337.755,30,2.038481
-336.484,30,2.226345
-332.787,30,2.412785
-335.37903,30,2.596917
-342.02505,30,2.782936
-335.85297,30,2.970615
-361.793,30,3.160565
-333.04703,30,3.345003
-337.29202,30,3.531979
-319.78497,30,3.716046
-307.211,30,3.899972
-318.67203,30,4.086264
-324.65295,30,4.271741
-318.61197,30,4.457608
-313.96802,30,4.646058
-338.48495,30,4.832825
-329.16104,30,5.01952
-333.466,30,5.211296
-318.37003,30,5.398752
-334.867,30,5.583078
-332.00305,30,5.771644
-330.814,30,5.957804
-337.87802,30,6.144
-344.325,30,6.331506
-350.30096,30,6.517166
-340.628,30,6.702081
-340.53195,30,6.88832
-348.396,30,7.075925
-337.40903,30,7.264047
-337.173,30,7.448523
-366.071,30,7.634815
-356.29596,30,7.820489
-369.97702,30,8.00543
-367.24603,30,8.191541
-362.54404,30,8.37832
-366.78497,30,8.567286
-350.70502,30,8.758617
-365.34198,30,8.948552
-349.896,30,9.135343
-363.85202,30,9.322924
-341.882,30,9.511182
-359.436,30,9.697207
-348.398,30,9.883924
-354.012,30,10.070748
-343.252,30,10.261206
-372.53003,30,10.448963
-349.118,30,10.633838
-340.392,30,10.818943
-344.48703,30,11.002507
-360.92902,30,11.187248
-342.03296,30,11.372971
-355.991,30,11.557228
-360.455,30,11.741536
-351.14304,30,11.924939
-345.644,30,12.110616
-346.012,30,12.296082
-331.46805,30,12.481196
-321.47202,30,12.669825
-349.424,30,12.853642
-348.86298,30,13.037672
-346.749,30,13.223752
-350.47998,30,13.412611
-360.89105,30,13.601287
-343.43292,30,13.786485
-354.854,30,13.973053
-352.66,30,14.157039
-349.80096,30,14.340923
-354.26297,30,14.524768
-353.822,30,14.71619
-347.85,30,14.903422
-356.93198,30,15.093692
-369.35803,30,15.280564
-348.861,30,15.466507
-361.693,30,15.654609
-358.163,30,15.843238
-371.205,30,16.034562
-351.97302,30,16.223846
-370.06,30,16.41071
-359.12402,30,16.594646
-352.23703,30,16.779409
-343.85605,30,16.963564
-361.512,30,17.148979
-350.81403,30,17.3376
-357.85397,30,17.523082
-360.06198,30,17.706113
-371.14206,30,17.895129
-341.92804,30,18.081663
-357.41296,30,18.265571
-375.355,30,18.448938
-358.60602,30,18.638446
-351.15,30,18.83319
-359.525,30,19.024769
-369.001,30,19.208506
-353.82,30,19.39241
-366.58,30,19.575559
-349.122,30,19.761205
-356.829,30,19.949371
-367.444,30,20.138567
-349.92395,30,20.326291
-349.24002,30,20.510812
-355.34296,30,20.696076
-337.75,30,20.886947
-359.688,30,21.079285
-368.014,30,21.272112
-358.81,30,21.461513
-353.15103,30,21.64826
-358.737,30,21.837993
-320.024,30,22.026528
-305.80505,30,22.214487
-337.86398,30,22.400653
-346.18002,30,22.593846
-349.84802,30,22.784168
-336.35004,30,22.978329
-326.20898,30,23.163095
-322.386,30,23.349132
-331.71204,30,23.534609
-317.217,30,23.718622
-332.43802,30,23.902501
-314.45596,30,24.087148
-333.358,30,24.270084
-326.754,30,24.455754
-350.313,30,24.641118
-343.151,30,24.825649
-302.97696,30,25.020305
-312.349,30,25.211259
-319.86,30,25.396123
-280.49796,30,25.581916
-298.181,30,25.767526
-313.43503,30,25.954756
-341.15,30,26.144183
-331.04,30,26.335849
-308.616,30,26.527817
-320.61502,30,26.715082
-332.46997,30,26.912203
-315.73898,30,27.129483
-326.64304,30,27.329764
-292.42297,30,27.519223
-294.89102,30,27.710636
-324.089,30,27.897834
-334.324,30,28.086425
-312.24,30,28.277898
-302.85297,30,28.463282
-329.741,30,28.65221
-335.551,30,28.841848
-322.13998,30,29.029944
-322.33902,30,29.218803
-328.574,30,29.404406
-331.94904,30,29.592811
-313.715,30,29.782513
-319.438,30,29.972672
-333.337,30,30.160347
-324.21103,30,30.349389
-320.63504,30,30.536707
-331.76303,30,30.725619
-332.91904,30,30.916055
-316.688,30,31.102108
-331.281,30,31.416367
-327.681,30,31.590098
-324.56097,30,31.760777
-328.471,30,31.931666
-328.431,30,32.10265
-289.189,30,32.292519
-291.97,30,32.479535
-294.648,30,32.664389
-270.15002,30,32.84949
-299.148,30,33.034393
-296.79498,30,33.223604
-310.59,30,33.415576
-305.166,30,33.603462
-330.33298,30,33.790236
-335.97202,30,33.980628
-318.921,30,34.168788
-332.337,30,34.358602
-345.08197,30,34.546179
-330.977,30,34.737611
-305.80502,30,34.926615
-324.62802,30,35.115426
-324.25397,30,35.305815
-338.42505,30,35.492548
-348.416,30,35.683979
-329.13403,30,35.877828
-351.85895,30,36.065164
-334.034,30,36.253848
-348.77097,30,36.439084
-342.678,30,36.626291
-363.02405,30,36.811137
-333.27496,30,36.996699
-338.85104,30,37.184081
-336.086,30,37.378764
-339.232,30,37.580789
-347.928,30,37.767893
-339.389,30,37.955717
-342.19098,30,38.147292
-312.28598,30,38.337555
-329.96295,30,38.528332
-319.63602,30,38.713343
-327.881,30,38.900098
-323.55,30,39.088355
-321.56802,30,39.278797
-315.77103,30,39.466747
-311.799,30,39.659437
-329.05103,30,39.847574
-327.94397,30,40.032316
-314.05002,30,40.222906
-327.33304,30,40.411753
-314.268,30,40.602631
-319.61002,30,40.79275
-314.29,30,40.979227
-304.193,30,41.166536
-313.51697,30,41.363575
-292.42996,30,41.550863
-293.815,30,41.737796
-289.60297,30,41.926348
-276.731,30,42.116374
-282.198,30,42.304111
-302.51602,30,42.494569
-309.73303,30,42.683001
-291.009,30,42.869931
-304.758,30,43.061667
-286.987,30,43.254481
-262.428,30,43.443319
-313.65503,30,43.631358
-297.585,30,43.81742
-288.771,30,44.009129
-286.71902,30,44.194027
-300.37396,30,44.381918
-284.09003,30,44.565657
-274.19397,30,44.753979
-262.857,30,44.942596
-272.82602,30,45.130399
-262.312,30,45.318466
-290.30304,30,45.502783
-277.98895,30,45.688518
-295.269,30,45.877148
-286.635,30,46.066992
-273.56497,30,46.257638
-266.36798,30,46.448057
-273.679,30,46.636595
-300.431,30,46.825696
-287.591,30,47.014577
-278.137,30,47.201152
-297.469,30,47.388547
-303.661,30,47.576798
-276.62097,30,47.762043
-244.21501,30,47.94626
-274.059,30,48.131009
-299.67902,30,48.319337
-298.94897,30,48.511455
-282.198,30,48.696827
-267.258,30,48.897767
-280.76898,30,49.086781
-300.998,30,49.276071
-283.749,30,49.462894
-291.933,30,49.657075
-273.832,30,49.84775
-266.686,30,50.033805
-264.01498,30,50.222141
-274.578,30,50.408835
-284.688,30,50.597251
-289.15002,30,50.78541
-268.86398,30,50.972705
-299.736,30,51.157427
