#{"t_start": 1676283769.0121028, "env_id": null}
r,l,t
-337.61996,30,0.386315
-331.99802,30,0.386363
-315.20502,30,0.743723
-343.39404,30,0.743774
-331.669,30,1.098331
-325.46902,30,1.098377
-329.213,30,1.449248
-320.684,30,1.449298
-330.443,30,1.800746
-330.15402,30,1.800806
-341.304,30,2.147432
-314.06604,30,2.147482
-327.034,30,2.495302
-334.894,30,2.495353
-330.65298,30,2.842234
-313.733,30,2.842289
-344.16705,30,3.189411
-332.44397,30,3.189463
-337.23697,30,3.534993
-318.052,30,3.535048
-309.246,30,3.881637
-337.895,30,3.881694
-339.09497,30,4.225688
-343.778,30,4.225744
-326.534,30,4.569594
-336.96997,30,4.569648
-335.845,30,4.914237
-328.24402,30,4.914286
-312.385,30,5.258836
-311.672,30,5.258888
-351.453,30,5.605054
-345.50897,30,5.605109
-329.13803,30,5.951112
-341.72598,30,5.951175
-329.927,30,6.297189
-325.09903,30,6.29724
-342.516,30,6.64132
-326.84998,30,6.641372
-316.05402,30,6.987514
-316.597,30,6.987566
-331.723,30,7.333615
-326.828,30,7.333672
-337.943,30,7.679435
-340.98703,30,7.679493
-335.77502,30,8.023599
-329.11502,30,8.023652
-307.48203,30,8.368688
-328.687,30,8.368738
-323.94302,30,8.713786
-323.956,30,8.713843
-332.636,30,9.057339
-347.81998,30,9.057388
-298.513,30,9.402535
-343.33698,30,9.402583
-336.03198,30,9.747188
-324.87198,30,9.74724
-302.174,30,10.091173
-342.06396,30,10.091226
-315.85797,30,10.435647
-316.03702,30,10.435703
-341.721,30,10.778566
-322.268,30,10.778624
-343.358,30,11.124468
-322.833,30,11.12452
-340.778,30,11.467801
-322.24402,30,11.467854
-338.58,30,11.811587
-335.56598,30,11.811646
-325.107,30,12.160097
-335.15103,30,12.160155
-320.58698,30,12.519548
-326.919,30,12.51961
-327.192,30,12.875023
-321.143,30,12.875087
-330.704,30,13.222043
-331.271,30,13.222103
-330.912,30,13.56828
-333.53305,30,13.56834
-341.06302,30,13.918311
-326.91003,30,13.918382
-316.044,30,14.265638
-342.20602,30,14.2657
-351.38498,30,14.610148
-320.29898,30,14.610209
-340.354,30,14.954468
-347.06802,30,14.95453
-352.143,30,15.305979
-340.056,30,15.306045
-334.22498,30,15.650831
-337.139,30,15.650891
-337.251,30,16.001387
-329.56897,30,16.001448
-334.55902,30,16.346109
-343.00296,30,16.346167
-336.40704,30,16.690929
-328.72098,30,16.690989
-341.241,30,17.046725
-335.646,30,17.046789
-325.152,30,17.398383
-324.247,30,17.398445
-328.017,30,17.742354
-338.38702,30,17.742414
-342.182,30,18.089861
-331.91803,30,18.089918
-336.84402,30,18.443259
-340.65298,30,18.443318
-321.67603,30,18.794281
-336.627,30,18.794344
-321.736,30,19.14708
-308.49298,30,19.147144
-329.053,30,19.500664
-347.318,30,19.50072
-318.376,30,19.854593
-325.74698,30,19.854653
-347.35498,30,20.20691
-322.18597,30,20.206967
-335.298,30,20.558914
-331.42102,30,20.558975
-328.73,30,20.910352
-335.081,30,20.91041
-332.552,30,21.26254
-322.68594,30,21.262597
-346.82904,30,21.613322
-318.39798,30,21.613385
-324.897,30,21.968021
-321.82,30,21.968079
-307.055,30,22.318319
-329.06497,30,22.318378
-331.16498,30,22.662728
-354.74503,30,22.66279
-326.27496,30,23.008803
-335.444,30,23.008862
-326.561,30,23.360754
-318.861,30,23.360809
-299.05798,30,23.716719
-320.63898,30,23.716778
-335.98196,30,24.341001
-323.653,30,24.341058
-323.859,30,24.693886
-343.541,30,24.693943
-331.566,30,25.044637
-321.59097,30,25.044696
-337.627,30,25.401592
-305.395,30,25.401651
-325.719,30,25.753064
-319.35,30,25.753121
-333.523,30,26.107
-339.89005,30,26.107056
-336.21597,30,26.464263
-315.46103,30,26.464319
-322.599,30,26.815153
-322.90298,30,26.815202
-321.50098,30,27.179763
-315.63797,30,27.17982
-324.35098,30,27.586849
-327.06802,30,27.587008
-311.62897,30,27.975208
-314.31,30,27.97528
-312.76697,30,28.370971
-337.804,30,28.371032
-332.63004,30,28.736352
-319.51904,30,28.736411
-321.94003,30,29.098626
-313.15198,30,29.098701
-310.673,30,29.472005
-310.01196,30,29.472074
-331.001,30,29.857756
-331.34402,30,29.857802
-316.05002,30,30.220378
-314.91098,30,30.220433
-334.03897,30,30.583205
-330.702,30,30.583263
-325.55502,30,30.950757
-301.041,30,30.950812
-327.51498,30,31.300157
-316.368,30,31.300213
-325.51703,30,31.646915
-317.63202,30,31.646971
-302.336,30,31.992312
-340.375,30,31.992371
-327.452,30,32.338146
-325.992,30,32.338196
-311.14902,30,32.687012
-325.67703,30,32.68707
-326.675,30,33.035358
-305.751,30,33.035416
-324.266,30,33.401623
-350.219,30,33.401681
-323.879,30,33.775972
-319.239,30,33.776038
-336.065,30,34.140302
-327.43204,30,34.140358
-332.23398,30,34.497163
-343.831,30,34.497217
-324.10498,30,34.850841
-294.122,30,34.85089
-327.55698,30,35.202063
-328.113,30,35.202116
-322.97702,30,35.566042
-334.85495,30,35.566104
-311.603,30,35.938494
-309.09402,30,35.938552
-342.41202,30,36.296419
-305.16202,30,36.296473
-337.67905,30,36.650996
-305.47803,30,36.651051
-341.485,30,37.00368
-296.48,30,37.003735
-336.46198,30,37.372248
-309.77197,30,37.372297
-333.46298,30,37.723267
-343.932,30,37.72332
-339.538,30,38.095583
-330.789,30,38.095639
-320.91705,30,38.466565
-326.80902,30,38.466618
-331.831,30,38.813955
-321.82098,30,38.814008
-327.903,30,39.160887
-313.19705,30,39.160936
-316.569,30,39.510172
-321.53,30,39.510228
-328.555,30,39.856135
-321.263,30,39.85619
-311.718,30,40.20238
-315.256,30,40.202439
-309.47595,30,40.547461
-313.88898,30,40.547511
-304.611,30,40.892278
-339.006,30,40.892329
-343.13,30,41.23909
-324.382,30,41.239151
-316.49097,30,41.583104
-317.407,30,41.583153
-313.91702,30,41.926992
-347.46997,30,41.927055
-315.51,30,42.271018
-318.198,30,42.27108
-317.732,30,42.615782
-315.591,30,42.61584
-315.32904,30,42.960683
-329.23898,30,42.960744
-305.05298,30,43.30298
-318.59,30,43.30304
-317.27402,30,43.661473
-339.732,30,43.661538
-314.95502,30,44.026513
-336.914,30,44.026558
-321.86996,30,44.389
-311.52,30,44.389514
-323.342,30,44.734343
-326.91595,30,44.734409
-325.34607,30,45.08164
-316.95203,30,45.081698
-316.46295,30,45.449512
-295.34,30,45.449574
-332.898,30,45.838141
-304.58798,30,45.838209
